epoch,step,ppl,loss,lr,route_ent,exp_sim,gate_avg,grad_norm,conv_rate,aux_loss,cap_rate,gate_ratio
1,1800,2736.2,7.89,1.00e-04,1.2212,0.4756,0.4963,2.8937,0.0000,0.498025,0.0547,7.3188
1,2000,2715.1,7.87,1.00e-04,1.0119,0.4705,0.4964,3.1034,0.0000,0.500459,0.0781,7.6871
1,2200,2864.7,8.47,1.00e-04,0.9921,0.5157,0.4966,1.2188,0.0000,0.515845,0.0859,8.6161
1,2400,2990.2,8.57,1.00e-04,1.0839,0.4815,0.4966,0.9927,0.0000,0.500950,0.0781,10.8508
1,2600,3100.8,8.36,1.00e-04,0.8499,0.5119,0.4966,0.8183,0.0000,0.497711,0.1094,11.9936
1,2800,3197.8,8.44,1.00e-04,1.0882,0.4756,0.4967,0.7835,0.0000,0.497863,0.0938,10.6527
1,3000,3282.3,8.46,1.00e-04,0.9857,0.5023,0.4967,0.8499,0.0000,0.526646,0.1172,10.8886
1,3200,3358.9,8.38,1.00e-04,0.9236,0.4661,0.4967,0.7441,0.0000,0.510315,0.1562,11.3523
1,3400,3429.7,8.43,1.00e-04,1.1212,0.4894,0.4967,0.7267,0.0000,0.505038,0.0781,11.9014
1,3600,3493.0,8.45,1.00e-04,0.9793,0.4819,0.4967,1.0009,0.0000,0.501381,0.1797,15.5730
1,3800,3549.2,8.38,1.00e-04,1.1848,0.4837,0.4968,0.7152,0.0000,0.499438,0.1250,12.6981
1,4000,3599.6,8.37,1.00e-04,1.0581,0.4777,0.4968,0.7313,0.0000,0.506064,0.0781,12.8753
1,4200,3652.3,8.57,1.00e-04,0.9828,0.4809,0.4968,0.6420,0.0000,0.499372,0.0703,13.2415
1,4400,3700.9,8.51,1.00e-04,1.0542,0.4790,0.4968,0.9108,0.0000,0.511944,0.1562,15.1899
1,4600,3744.2,8.46,1.00e-04,0.8917,0.4860,0.4968,0.6360,0.0000,0.508596,0.1406,14.5601
1,4800,3784.2,8.51,1.00e-04,0.9724,0.4875,0.4969,0.6127,0.0000,0.501531,0.1016,15.1622
1,5000,3821.5,8.24,1.00e-04,1.0416,0.4860,0.4969,0.6107,0.0000,0.510760,0.1875,19.7084
1,5200,3857.3,8.61,1.00e-04,1.1793,0.4815,0.4969,0.5836,0.0000,0.510327,0.1172,13.8843
1,200,3804.7,8.12,1.00e-04,1.1309,0.4187,0.4966,1.2676,0.0000,0.524025,0.1094,17.5379
1,400,3530.8,7.93,1.00e-04,0.9490,0.3855,0.4967,1.7874,0.0000,0.540540,0.2422,30.6804
1,600,3339.2,8.02,1.00e-04,1.2089,0.3843,0.4968,2.4650,0.0000,0.532679,0.1328,18.2563
1,800,3196.6,7.92,1.00e-04,1.1174,0.4019,0.4970,2.2265,0.0000,0.534578,0.0859,12.8794
1,1000,3159.7,7.95,1.00e-04,1.1039,0.4162,0.4971,2.6847,0.0000,0.531569,0.1094,15.0246
1,1200,3126.1,8.16,1.00e-04,1.1001,0.4011,0.4972,4.1422,0.0000,0.512563,0.0391,13.3694
1,1400,3123.4,7.95,1.00e-04,1.0905,0.4259,0.4973,2.3006,0.0000,0.540191,0.0625,13.3216
1,1600,3093.0,7.93,1.00e-04,1.1542,0.4193,0.4974,2.4486,0.0000,0.521761,0.0312,11.6479
1,1800,3058.3,7.89,1.00e-04,1.2017,0.3921,0.4975,2.4698,0.0000,0.521197,0.0938,10.5564
1,2000,3024.9,7.94,1.00e-04,1.1829,0.3950,0.4976,2.9478,0.0000,0.533749,0.0938,13.7851
1,2200,3143.2,8.38,1.00e-04,0.9383,0.4529,0.4978,1.0816,0.0000,0.528927,0.4062,53.1673
1,2400,3242.6,8.51,1.00e-04,1.0878,0.4734,0.4978,1.1062,0.0000,0.514851,0.1641,24.0081
1,200,2788.6,7.89,1.00e-04,1.1659,0.4198,0.4976,3.4272,0.0000,0.545351,0.0078,19.5259
1,400,2546.3,7.66,1.00e-04,0.9655,0.3970,0.4976,2.7820,0.0000,0.521764,0.0938,15.1105
1,600,2476.3,7.82,1.00e-04,1.1401,0.3920,0.4977,2.8091,0.0000,0.519295,0.1172,13.1492
1,800,2435.7,7.66,1.00e-04,1.1492,0.4016,0.4978,2.8203,0.0000,0.554953,0.0703,26.2343
1,1000,2403.8,7.74,1.00e-04,1.0073,0.4105,0.4978,2.7554,0.0000,0.542664,0.3438,44.7645
1,1200,2391.5,7.96,1.00e-04,1.0192,0.3902,0.4979,2.8692,0.0000,0.524429,0.1641,31.5043
1,1400,2379.8,7.68,1.00e-04,0.9724,0.3932,0.4979,3.1068,0.0000,0.526591,0.1641,31.2165
1,1600,2360.3,7.62,1.00e-04,1.1755,0.3994,0.4980,2.7276,0.0000,0.519403,0.1250,25.0484
1,1800,2341.5,7.64,1.00e-04,1.1321,0.4009,0.4981,2.9985,0.0000,0.528785,0.2734,38.3407
1,2000,2331.3,7.81,1.00e-04,1.0398,0.4010,0.4981,4.2108,0.0000,0.528924,0.0781,25.7234
1,200,2960.1,8.01,1.00e-04,0.9535,0.4233,0.4981,2.6038,0.0000,0.525652,0.2891,38.0259
1,200,3345.8,8.14,1.00e-04,1.1834,0.3055,0.4981,4.7831,0.0000,0.543168,0.1328,15.1224
1,400,3145.3,7.92,1.00e-04,1.1087,0.3347,0.4980,3.0128,0.0000,0.538914,0.2578,30.8575
1,600,3054.5,8.11,1.00e-04,0.8567,0.3462,0.4980,5.0406,0.0000,0.636822,0.2500,30.2507
1,200,3405.8,8.28,1.00e-04,1.0381,0.3647,0.4981,3.7401,0.0000,0.703625,0.2422,30.6613
1,400,3178.5,7.92,1.00e-04,0.9995,0.3300,0.4980,2.8187,0.0000,0.511926,0.2656,33.1652
1,600,3057.8,8.02,1.00e-04,0.9233,0.3050,0.4980,3.1633,0.0000,0.564303,0.6484,85.8649
1,800,2984.3,7.90,1.00e-04,1.0850,0.2987,0.4980,2.7269,0.0000,0.526488,0.2109,38.4721
1,1000,2938.5,7.85,1.00e-04,0.9937,0.3356,0.4980,2.6772,0.0000,0.524553,0.6797,61.9665
1,200,3926.1,8.14,1.00e-04,1.1659,0.3817,0.4981,4.0530,0.0000,0.596869,0.1094,9.4427
1,400,3494.3,7.94,1.00e-04,1.2404,0.2875,0.4980,4.0902,0.0000,0.558182,0.0312,10.8094
1,600,3332.3,8.05,1.00e-04,0.8570,0.3557,0.4980,4.4286,0.0000,0.571167,0.2188,16.6483
1,800,3206.9,7.97,1.00e-04,1.0917,0.3736,0.4979,3.3215,0.0000,0.559851,0.1641,26.1127
1,1000,3127.6,7.81,1.00e-04,1.0641,0.3669,0.4979,3.0330,0.0000,0.531499,0.0703,17.6717
1,1200,3102.7,8.14,1.00e-04,1.0827,0.3536,0.4979,4.1184,0.0000,0.538900,0.4062,66.3753
1,200,2376.8,7.83,1.00e-04,1.0064,0.4614,0.4981,3.3142,0.0000,0.517407,0.1406,28.9563
1,400,2258.6,7.54,1.00e-04,1.1288,0.4053,0.4981,2.6770,0.0000,0.504967,0.1484,23.0849
1,600,2194.4,7.72,1.00e-04,1.1423,0.3980,0.4981,3.2216,0.0000,0.509708,0.1641,21.9002
